Lat,Lon,Z
47.68088141,11.99205024,783.7270508
47.68087012,11.99204736,783.7040405
47.68085884,11.99204448,783.7060547
47.68084756,11.9920416,783.7200317
47.68083627,11.99203872,783.7380371
47.68082691,11.99203748,783.7670288
47.68081756,11.99203624,783.7700195
47.6808082,11.992035,783.7530518
47.68079884,11.99203376,783.8170166
47.68078948,11.99203253,783.7970581
47.68078013,11.99203129,783.7780151
47.68077077,11.99203005,783.7800293
47.68076141,11.99202881,783.7590332
47.68075205,11.99202757,783.7680664
47.6807427,11.99202633,783.7900391
47.68073266,11.99202614,783.7940674
47.68072228,11.99202648,783.8250122
47.68071191,11.99202682,783.8470459
47.68070153,11.99202715,783.6470337
47.68069115,11.99202749,783.6570435
47.68068078,11.99202783,783.6660156
47.6806704,11.99202817,783.7680664
47.68066002,11.9920285,783.8200073
47.68064965,11.99202884,783.9690552
47.68063927,11.99202918,783.9920654
47.68062919,11.99203003,783.9110107
47.68061971,11.99203192,783.9440308
47.68061023,11.99203381,783.9590454
47.68060075,11.9920357,783.9020386
47.68059127,11.99203759,784.0430298
47.68057966,11.99204022,784.1260376
47.68056854,11.99204339,784.0550537
47.68055742,11.99204656,784.0270386
47.6805463,11.99204973,784.151062
47.68053518,11.9920529,784.1390381
47.68052405,11.99205607,784.1120605
47.68051293,11.99205924,784.2290649
47.68050181,11.99206241,784.2900391
47.68049069,11.99206558,784.3070068
47.68047957,11.99206875,784.3710327
47.68046845,11.99207192,784.4120483
47.68045655,11.99207546,784.4640503
47.68044465,11.992079,784.5940552
47.68043275,11.99208254,784.5910645
47.68042085,11.99208608,784.6850586
47.68040895,11.99208962,784.802063
47.68039705,11.99209316,784.7980347
47.68038515,11.9920967,784.8660278
47.68037325,11.99210024,784.9290161
47.68036135,11.99210378,785.0140381
47.68034945,11.99210732,785.1150513
47.68034025,11.99210941,785.15802
47.68032976,11.99211124,785.2290649
47.68031927,11.99211306,784.7440186
47.68030879,11.99211489,784.1000366
47.6802983,11.99211671,783.5640259
47.68028782,11.99211853,783.0930176
47.68027733,11.99212036,782.65802
47.68026685,11.99212218,782.6800537
47.68025636,11.99212401,782.6000366
47.68024588,11.99212583,782.6040649
47.68023539,11.99212766,782.6160278
47.68022491,11.99212948,782.6290283
47.68021442,11.9921313,782.8500366
47.68020394,11.99213313,783.4860229
47.68019345,11.99213495,784.1040649
47.68018297,11.99213678,784.8070068
47.6801729,11.99214483,785.2670288
47.68016283,11.99215289,785.2610474
47.68015275,11.99216095,785.1980591
47.68014268,11.99216901,785.1800537
47.68013261,11.99217707,785.2070313
47.68012254,11.99218513,785.1230469
47.68011247,11.99219319,785.1460571
47.6801024,11.99220124,785.1390381
47.68009233,11.9922093,785.1030273
47.68008226,11.99221736,785.0490112
47.68007219,11.99222542,784.9770508
47.68006212,11.99223348,784.9860229
